contest,rank,handle,country
Code Contest 9,9,user0099,New Zealand
Code Contest 9,10,user00910,Argentina
Code Contest 10,1,user0101,Italy
Code Contest 10,2,user0102,Malaysia
Code Contest 10,3,user0103,Spain
Code Contest 10,4,user0104,Italy
Code Contest 10,5,user0105,Ireland
Code Contest 10,6,user0106,Norway
Code Contest 10,7,user0107,Israel
Code Contest 10,8,user0108,Finland
Code Contest 10,9,user0109,Netherlands
Code Contest 10,10,user01010,China
Code Contest 11,1,user0111,Mexico
Code Contest 11,2,user0112,Indonesia
Code Contest 11,3,user0113,Singapore
Code Contest 11,4,user0114,Netherlands
Code Contest 11,5,user0115,Philippines
Code Contest 11,6,user0116,Belgium
Code Contest 11,7,user0117,Philippines
Code Contest 11,8,user0118,Norway
Code Contest 11,9,user0119,United Kingdom
Code Contest 11,10,user01110,Japan
Code Contest 12,1,user0121,China
Code Contest 12,2,user0122,Chile
Code Contest 12,3,user0123,Ireland
Code Contest 12,4,user0124,Australia
Code Contest 12,5,user0125,Hungary
Code Contest 12,6,user0126,Canada
Code Contest 12,7,user0127,Finland
Code Contest 12,8,user0128,France
Code Contest 12,9,user0129,Belgium
Code Contest 12,10,user01210,Vietnam
Code Contest 13,1,user0131,Argentina
Code Contest 13,2,user0132,USA
Code Contest 13,3,user0133,USA
Code Contest 13,4,user0134,Vietnam
Code Contest 13,5,user0135,Israel
Code Contest 13,6,user0136,South Africa
Code Contest 13,7,user0137,Netherlands
Code Contest 13,8,user0138,Indonesia
Code Contest 13,9,user0139,Poland
Code Contest 13,10,user01310,Canada
Code Contest 14,1,user0141,Singapore
Code Contest 14,2,user0142,New Zealand
Code Contest 14,3,user0143,Sweden
Code Contest 14,4,user0144,Canada
Code Contest 14,5,user0145,Slovakia
Code Contest 14,6,user0146,Belgium
Code Contest 14,7,user0147,France
Code Contest 14,8,user0148,Israel
Code Contest 14,9,user0149,Poland
Code Contest 14,10,user01410,Netherlands
Code Contest 15,1,user0151,Chile
Code Contest 15,2,user0152,Germany
Code Contest 15,3,user0153,Chile
Code Contest 15,4,user0154,Brazil
Code Contest 15,5,user0155,South Korea
Code Contest 15,6,user0156,Chile
Code Contest 15,7,user0157,Vietnam
Code Contest 15,8,user0158,India
Code Contest 15,9,user0159,Finland
Code Contest 15,10,user01510,United Kingdom
Code Contest 16,1,user0161,France
Code Contest 16,2,user0162,Singapore
Code Contest 16,3,user0163,South Africa
Code Contest 16,4,user0164,Poland
Code Contest 16,5,user0165,Vietnam
Code Contest 16,6,user0166,Spain
Code Contest 16,7,user0167,Ireland
Code Contest 16,8,user0168,Portugal
Code Contest 16,9,user0169,Canada
Code Contest 16,10,user01610,United Kingdom
Code Contest 17,1,user0171,South Korea
Code Contest 17,2,user0172,Mexico
Code Contest 17,3,user0173,Hungary
Code Contest 17,4,user0174,Mexico
Code Contest 17,5,user0175,Malaysia
Code Contest 17,6,user0176,Australia
Code Contest 17,7,user0177,Australia
Code Contest 17,8,user0178,Ireland
Code Contest 17,9,user0179,Argentina
Code Contest 17,10,user01710,Singapore
Code Contest 18,1,user0181,China
Code Contest 18,2,user0182,China
Code Contest 18,3,user0183,Turkey
Code Contest 18,4,user0184,Indonesia
Code Contest 18,5,user0185,France
Code Contest 18,6,user0186,Netherlands
Code Contest 18,7,user0187,South Africa
Code Contest 18,8,user0188,Vietnam
Code Contest 18,9,user0189,Belgium
Code Contest 18,10,user01810,Italy
Code Contest 19,1,user0191,Singapore
Code Contest 19,2,user0192,India
Code Contest 19,3,user0193,South Korea
Code Contest 19,4,user0194,Norway
Code Contest 19,5,user0195,United Kingdom
Code Contest 19,6,user0196,Greece
Code Contest 19,7,user0197,South Africa
Code Contest 19,8,user0198,Greece
Code Contest 19,9,user0199,Canada
Code Contest 19,10,user01910,Mexico
Code Contest 20,1,user0201,Japan
Code Contest 20,2,user0202,Argentina
Code Contest 20,3,user0203,Sweden
Code Contest 20,4,user0204,Portugal
Code Contest 20,5,user0205,Philippines
Code Contest 20,6,user0206,Indonesia
Code Contest 20,7,user0207,Japan
Code Contest 20,8,user0208,Philippines
Code Contest 20,9,user0209,Japan
Code Contest 20,10,user02010,Poland
Code Contest 21,1,user0211,Argentina
Code Contest 21,2,user0212,Hungary
Code Contest 21,3,user0213,Japan
Code Contest 21,4,user0214,Argentina
Code Contest 21,5,user0215,Czech Republic
Code Contest 21,6,user0216,Sweden
Code Contest 21,7,user0217,Argentina
Code Contest 21,8,user0218,Chile
Code Contest 21,9,user0219,Mexico
Code Contest 21,10,user02110,New Zealand
Code Contest 22,1,user0221,Ireland
Code Contest 22,2,user0222,Italy
Code Contest 22,3,user0223,Singapore
Code Contest 22,4,user0224,China
Code Contest 22,5,user0225,Malaysia
Code Contest 22,6,user0226,Malaysia
Code Contest 22,7,user0227,Turkey
Code Contest 22,8,user0228,Mexico
Code Contest 22,9,user0229,Turkey
Code Contest 22,10,user02210,Denmark
Code Contest 23,1,user0231,India
Code Contest 23,2,user0232,Brazil
Code Contest 23,3,user0233,Brazil
Code Contest 23,4,user0234,Belgium
Code Contest 23,5,user0235,Switzerland
Code Contest 23,6,user0236,Belgium
Code Contest 23,7,user0237,Denmark
Code Contest 23,8,user0238,Israel
Code Contest 23,9,user0239,Hungary
Code Contest 23,10,user02310,Brazil
Code Contest 24,1,user0241,Hungary
Code Contest 24,2,user0242,Norway
Code Contest 24,3,user0243,Sweden
Code Contest 24,4,user0244,Brazil
Code Contest 24,5,user0245,Mexico
Code Contest 24,6,user0246,India
Code Contest 24,7,user0247,India
Code Contest 24,8,user0248,Singapore
Code Contest 24,9,user0249,Greece
Code Contest 24,10,user02410,China
Code Contest 25,1,user0251,Belgium
Code Contest 25,2,user0252,Germany
Code Contest 25,3,user0253,New Zealand
Code Contest 25,4,user0254,Israel
Code Contest 25,5,user0255,Mexico
Code Contest 25,6,user0256,Argentina
Code Contest 25,7,user0257,Greece
Code Contest 25,8,user0258,Indonesia
Code Contest 25,9,user0259,Brazil
Code Contest 25,10,user02510,Hungary
Code Contest 26,1,user0261,Singapore
Code Contest 26,2,user0262,Poland
Code Contest 26,3,user0263,Australia
Code Contest 26,4,user0264,Mexico
Code Contest 26,5,user0265,France
Code Contest 26,6,user0266,Denmark
Code Contest 26,7,user0267,Ireland
Code Contest 26,8,user0268,Turkey
Code Contest 26,9,user0269,Italy
Code Contest 26,10,user02610,Norway
Code Contest 27,1,user0271,Hungary
Code Contest 27,2,user0272,France
Code Contest 27,3,user0273,USA
Code Contest 27,4,user0274,Poland
Code Contest 27,5,user0275,USA
Code Contest 27,6,user0276,Netherlands
Code Contest 27,7,user0277,Israel
Code Contest 27,8,user0278,Slovakia
Code Contest 27,9,user0279,Belgium
Code Contest 27,10,user02710,Indonesia
Code Contest 28,1,user0281,Ireland
Code Contest 28,2,user0282,Finland
Code Contest 28,3,user0283,India
Code Contest 28,4,user0284,Slovakia
Code Contest 28,5,user0285,Italy
Code Contest 28,6,user0286,Hungary
Code Contest 28,7,user0287,Philippines
Code Contest 28,8,user0288,Singapore
Code Contest 28,9,user0289,Hungary
Code Contest 28,10,user02810,Spain
Code Contest 29,1,user0291,Hungary
Code Contest 29,2,user0292,Hungary
Code Contest 29,3,user0293,Philippines
Code Contest 29,4,user0294,Turkey
Code Contest 29,5,user0295,Chile
Code Contest 29,6,user0296,South Africa
Code Contest 29,7,user0297,France
Code Contest 29,8,user0298,Hungary
Code Contest 29,9,user0299,Chile
Code Contest 29,10,user02910,Australia
Code Contest 30,1,user0301,Germany
Code Contest 30,2,user0302,Argentina
Code Contest 30,3,user0303,Vietnam
Code Contest 30,4,user0304,Argentina
Code Contest 30,5,user0305,Mexico
Code Contest 30,6,user0306,Norway
Code Contest 30,7,user0307,Canada
Code Contest 30,8,user0308,Malaysia
Code Contest 30,9,user0309,Mexico
Code Contest 30,10,user03010,Philippines
Code Contest 31,1,user0311,Vietnam
Code Contest 31,2,user0312,Czech Republic
Code Contest 31,3,user0313,Thailand
Code Contest 31,4,user0314,Australia
Code Contest 31,5,user0315,Denmark
Code Contest 31,6,user0316,Philippines
Code Contest 31,7,user0317,Malaysia
Code Contest 31,8,user0318,South Africa
Code Contest 31,9,user0319,Spain
Code Contest 31,10,user03110,Netherlands
Code Contest 32,1,user0321,Italy
Code Contest 32,2,user0322,Spain
Code Contest 32,3,user0323,Mexico
Code Contest 32,4,user0324,Netherlands
Code Contest 32,5,user0325,Norway
Code Contest 32,6,user0326,China
Code Contest 32,7,user0327,South Korea
Code Contest 32,8,user0328,Israel
Code Contest 32,9,user0329,Spain
Code Contest 32,10,user03210,Argentina
Code Contest 33,1,user0331,Poland
Code Contest 33,2,user0332,Israel
Code Contest 33,3,user0333,Thailand
Code Contest 33,4,user0334,Malaysia
Code Contest 33,5,user0335,Brazil
Code Contest 33,6,user0336,Argentina
Code Contest 33,7,user0337,Singapore
Code Contest 33,8,user0338,Italy
Code Contest 33,9,user0339,Chile
Code Contest 33,10,user03310,Netherlands
Code Contest 34,1,user0341,China
Code Contest 34,2,user0342,Switzerland
Code Contest 34,3,user0343,Argentina
Code Contest 34,4,user0344,Mexico
Code Contest 34,5,user0345,United Kingdom
Code Contest 34,6,user0346,Slovakia
Code Contest 34,7,user0347,France
Code Contest 34,8,user0348,Greece
Code Contest 34,9,user0349,Singapore
Code Contest 34,10,user03410,South Korea
Code Contest 35,1,user0351,Thailand
Code Contest 35,2,user0352,South Africa
Code Contest 35,3,user0353,Poland
Code Contest 35,4,user0354,Indonesia
Code Contest 35,5,user0355,South Korea
Code Contest 35,6,user0356,Brazil
Code Contest 35,7,user0357,China
Code Contest 35,8,user0358,Netherlands
Code Contest 35,9,user0359,Canada
Code Contest 35,10,user03510,Brazil
Code Contest 36,1,user0361,Indonesia
Code Contest 36,2,user0362,Finland
Code Contest 36,3,user0363,New Zealand
Code Contest 36,4,user0364,Slovakia
Code Contest 36,5,user0365,Vietnam
Code Contest 36,6,user0366,Italy
Code Contest 36,7,user0367,Sweden
Code Contest 36,8,user0368,Italy
Code Contest 36,9,user0369,Netherlands
Code Contest 36,10,user03610,Chile
Code Contest 37,1,user0371,Ireland
Code Contest 37,2,user0372,Netherlands
Code Contest 37,3,user0373,Hungary
Code Contest 37,4,user0374,Australia
Code Contest 37,5,user0375,Belgium
Code Contest 37,6,user0376,New Zealand
Code Contest 37,7,user0377,Czech Republic
Code Contest 37,8,user0378,Poland
Code Contest 37,9,user0379,Sweden
Code Contest 37,10,user03710,China
Code Contest 38,1,user0381,Netherlands
Code Contest 38,2,user0382,France
Code Contest 38,3,user0383,Greece
Code Contest 38,4,user0384,Indonesia
Code Contest 38,5,user0385,Belgium
Code Contest 38,6,user0386,Indonesia
Code Contest 38,7,user0387,Poland
Code Contest 38,8,user0388,Canada
Code Contest 38,9,user0389,Argentina
Code Contest 38,10,user03810,Finland
Code Contest 39,1,user0391,Singapore
Code Contest 39,2,user0392,Czech Republic
Code Contest 39,3,user0393,United Kingdom
Code Contest 39,4,user0394,Philippines
Code Contest 39,5,user0395,Indonesia
Code Contest 39,6,user0396,Finland
Code Contest 39,7,user0397,Belgium
Code Contest 39,8,user0398,China
Code Contest 39,9,user0399,Czech Republic
Code Contest 39,10,user03910,South Korea
Code Contest 40,1,user0401,United Kingdom
Code Contest 40,2,user0402,Czech Republic
Code Contest 40,3,user0403,Switzerland
Code Contest 40,4,user0404,Italy
Code Contest 40,5,user0405,Mexico
Code Contest 40,6,user0406,Brazil
Code Contest 40,7,user0407,Switzerland
Code Contest 40,8,user0408,Indonesia
Code Contest 40,9,user0409,Denmark
Code Contest 40,10,user04010,Thailand
Code Contest 41,1,user0411,Finland
Code Contest 41,2,user0412,Mexico
Code Contest 41,3,user0413,France
Code Contest 41,4,user0414,Germany
Code Contest 41,5,user0415,Denmark
Code Contest 41,6,user0416,Portugal
Code Contest 41,7,user0417,Germany
Code Contest 41,8,user0418,Sweden
Code Contest 41,9,user0419,Denmark
Code Contest 41,10,user04110,Mexico
Code Contest 42,1,user0421,New Zealand
Code Contest 42,2,user0422,France
Code Contest 42,3,user0423,Brazil
Code Contest 42,4,user0424,USA
Code Contest 42,5,user0425,Czech Republic
Code Contest 42,6,user0426,Turkey
Code Contest 42,7,user0427,Japan
Code Contest 42,8,user0428,India
Code Contest 42,9,user0429,Israel
Code Contest 42,10,user04210,Switzerland
Code Contest 43,1,user0431,South Korea
Code Contest 43,2,user0432,Japan
Code Contest 43,3,user0433,Japan
Code Contest 43,4,user0434,Portugal
Code Contest 43,5,user0435,India
Code Contest 43,6,user0436,Norway
Code Contest 43,7,user0437,Sweden
Code Contest 43,8,user0438,New Zealand
Code Contest 43,9,user0439,Argentina
Code Contest 43,10,user04310,New Zealand
Code Contest 44,1,user0441,Switzerland
Code Contest 44,2,user0442,Chile
Code Contest 44,3,user0443,Norway
Code Contest 44,4,user0444,Singapore
Code Contest 44,5,user0445,Sweden
Code Contest 44,6,user0446,Portugal
Code Contest 44,7,user0447,Canada
Code Contest 44,8,user0448,Netherlands
Code Contest 44,9,user0449,Germany
Code Contest 44,10,user04410,Philippines
Code Contest 45,1,user0451,Netherlands
Code Contest 45,2,user0452,Czech Republic
Code Contest 45,3,user0453,Brazil
Code Contest 45,4,user0454,Vietnam
Code Contest 45,5,user0455,Belgium
Code Contest 45,6,user0456,Switzerland
Code Contest 45,7,user0457,Spain
Code Contest 45,8,user0458,Belgium
Code Contest 45,9,user0459,Vietnam
Code Contest 45,10,user04510,Chile
Code Contest 46,1,user0461,Canada
Code Contest 46,2,user0462,USA
Code Contest 46,3,user0463,Malaysia
Code Contest 46,4,user0464,India
Code Contest 46,5,user0465,Netherlands
Code Contest 46,6,user0466,Czech Republic
Code Contest 46,7,user0467,Belgium
Code Contest 46,8,user0468,Poland
Code Contest 46,9,user0469,South Africa
Code Contest 46,10,user04610,Singapore
Code Contest 47,1,user0471,India
Code Contest 47,2,user0472,United Kingdom
Code Contest 47,3,user0473,Belgium
Code Contest 47,4,user0474,Argentina
Code Contest 47,5,user0475,Sweden
Code Contest 47,6,user0476,Thailand
Code Contest 47,7,user0477,Spain
Code Contest 47,8,user0478,Canada
Code Contest 47,9,user0479,South Korea
Code Contest 47,10,user04710,Chile
Code Contest 48,1,user0481,South Korea
Code Contest 48,2,user0482,Denmark
Code Contest 48,3,user0483,Spain
Code Contest 48,4,user0484,Norway
Code Contest 48,5,user0485,Slovakia
Code Contest 48,6,user0486,Indonesia
Code Contest 48,7,user0487,China
Code Contest 48,8,user0488,India
Code Contest 48,9,user0489,Denmark
Code Contest 48,10,user04810,USA
Code Contest 49,1,user0491,Germany
Code Contest 49,2,user0492,Thailand
Code Contest 49,3,user0493,Malaysia
Code Contest 49,4,user0494,South Korea
Code Contest 49,5,user0495,Norway
Code Contest 49,6,user0496,Indonesia
Code Contest 49,7,user0497,Poland
Code Contest 49,8,user0498,South Korea
Code Contest 49,9,user0499,Slovakia
Code Contest 49,10,user04910,Italy
Code Contest 50,1,user0501,Belgium
Code Contest 50,2,user0502,Philippines
Code Contest 50,3,user0503,Vietnam
Code Contest 50,4,user0504,Spain
Code Contest 50,5,user0505,Israel
Code Contest 50,6,user0506,Greece
Code Contest 50,7,user0507,Greece
Code Contest 50,8,user0508,Italy
Code Contest 50,9,user0509,Chile
Code Contest 50,10,user05010,Turkey
Code Contest 51,1,user0511,France
Code Contest 51,2,user0512,Australia
Code Contest 51,3,user0513,Slovakia
Code Contest 51,4,user0514,Chile
Code Contest 51,5,user0515,Thailand
Code Contest 51,6,user0516,Sweden
Code Contest 51,7,user0517,Australia
Code Contest 51,8,user0518,Mexico
Code Contest 51,9,user0519,South Korea
Code Contest 51,10,user05110,Japan
Code Contest 52,1,user0521,India
Code Contest 52,2,user0522,Finland
Code Contest 52,3,user0523,Portugal
Code Contest 52,4,user0524,Czech Republic
Code Contest 52,5,user0525,Mexico
Code Contest 52,6,user0526,Turkey
Code Contest 52,7,user0527,Thailand
Code Contest 52,8,user0528,Argentina
Code Contest 52,9,user0529,Israel
Code Contest 52,10,user05210,Denmark
Code Contest 53,1,user0531,Malaysia
Code Contest 53,2,user0532,India
Code Contest 53,3,user0533,USA
Code Contest 53,4,user0534,Ireland
Code Contest 53,5,user0535,Norway
Code Contest 53,6,user0536,Mexico
Code Contest 53,7,user0537,Finland
Code Contest 53,8,user0538,Poland
Code Contest 53,9,user0539,Brazil
Code Contest 53,10,user05310,Belgium
Code Contest 54,1,user0541,Japan
Code Contest 54,2,user0542,Germany
Code Contest 54,3,user0543,South Africa
Code Contest 54,4,user0544,Israel
Code Contest 54,5,user0545,Hungary
Code Contest 54,6,user0546,Indonesia
Code Contest 54,7,user0547,Mexico
Code Contest 54,8,user0548,Canada
Code Contest 54,9,user0549,Israel
Code Contest 54,10,user05410,China
Code Contest 55,1,user0551,Israel
Code Contest 55,2,user0552,South Africa
Code Contest 55,3,user0553,Indonesia
Code Contest 55,4,user0554,Vietnam
Code Contest 55,5,user0555,Spain
Code Contest 55,6,user0556,Greece
Code Contest 55,7,user0557,Thailand
Code Contest 55,8,user0558,Chile
Code Contest 55,9,user0559,Belgium
Code Contest 55,10,user05510,Indonesia
Code Contest 56,1,user0561,Greece
Code Contest 56,2,user0562,France
Code Contest 56,3,user0563,Turkey
Code Contest 56,4,user0564,Greece
Code Contest 56,5,user0565,Netherlands
Code Contest 56,6,user0566,Mexico
Code Contest 56,7,user0567,New Zealand
Code Contest 56,8,user0568,South Africa
Code Contest 56,9,user0569,Ireland
Code Contest 56,10,user05610,Mexico
Code Contest 57,1,user0571,New Zealand
Code Contest 57,2,user0572,Greece
Code Contest 57,3,user0573,Argentina
Code Contest 57,4,user0574,Slovakia
Code Contest 57,5,user0575,Mexico
Code Contest 57,6,user0576,New Zealand
Code Contest 57,7,user0577,Sweden
Code Contest 57,8,user0578,Spain
Code Contest 57,9,user0579,Singapore
Code Contest 57,10,user05710,Australia
Code Contest 58,1,user0581,China
Code Contest 58,2,user0582,Finland
Code Contest 58,3,user0583,Japan
Code Contest 58,4,user0584,USA
Code Contest 58,5,user0585,Finland
Code Contest 58,6,user0586,Italy
Code Contest 58,7,user0587,Argentina
Code Contest 58,8,user0588,Denmark
Code Contest 58,9,user0589,Denmark
Code Contest 58,10,user05810,Sweden
Code Contest 59,1,user0591,Singapore
Code Contest 59,2,user0592,Israel
Code Contest 59,3,user0593,Denmark
Code Contest 59,4,user0594,Hungary
Code Contest 59,5,user0595,Italy
Code Contest 59,6,user0596,Denmark
Code Contest 59,7,user0597,USA
Code Contest 59,8,user0598,Philippines
Code Contest 59,9,user0599,Portugal
Code Contest 59,10,user05910,Malaysia
Code Contest 60,1,user0601,USA
Code Contest 60,2,user0602,Turkey
Code Contest 60,3,user0603,Poland
Code Contest 60,4,user0604,Switzerland
Code Contest 60,5,user0605,South Korea
Code Contest 60,6,user0606,USA
Code Contest 60,7,user0607,Denmark
Code Contest 60,8,user0608,Singapore
Code Contest 60,9,user0609,Singapore
Code Contest 60,10,user06010,Vietnam
Code Contest 61,1,user0611,Japan
Code Contest 61,2,user0612,Ireland
Code Contest 61,3,user0613,Japan
Code Contest 61,4,user0614,New Zealand
Code Contest 61,5,user0615,Belgium
Code Contest 61,6,user0616,Ireland
Code Contest 61,7,user0617,Portugal
Code Contest 61,8,user0618,USA
Code Contest 61,9,user0619,Sweden
Code Contest 61,10,user06110,Norway
Code Contest 62,1,user0621,France
Code Contest 62,2,user0622,Israel
Code Contest 62,3,user0623,China
Code Contest 62,4,user0624,Thailand
Code Contest 62,5,user0625,Singapore
Code Contest 62,6,user0626,Portugal
Code Contest 62,7,user0627,Norway
Code Contest 62,8,user0628,Philippines
Code Contest 62,9,user0629,Malaysia
Code Contest 62,10,user06210,Portugal
Code Contest 63,1,user0631,Australia
Code Contest 63,2,user0632,Belgium
Code Contest 63,3,user0633,China
Code Contest 63,4,user0634,Israel
Code Contest 63,5,user0635,Germany
Code Contest 63,6,user0636,Hungary
Code Contest 63,7,user0637,Netherlands
Code Contest 63,8,user0638,USA
Code Contest 63,9,user0639,Spain
Code Contest 63,10,user06310,Italy
Code Contest 64,1,user0641,Israel
Code Contest 64,2,user0642,Spain
Code Contest 64,3,user0643,Sweden
Code Contest 64,4,user0644,USA
Code Contest 64,5,user0645,New Zealand
Code Contest 64,6,user0646,Denmark
Code Contest 64,7,user0647,Netherlands
Code Contest 64,8,user0648,Australia
Code Contest 64,9,user0649,Turkey
Code Contest 64,10,user06410,Portugal
Code Contest 65,1,user0651,Singapore
Code Contest 65,2,user0652,Hungary
Code Contest 65,3,user0653,Switzerland
Code Contest 65,4,user0654,Japan
Code Contest 65,5,user0655,Argentina
Code Contest 65,6,user0656,Czech Republic
Code Contest 65,7,user0657,Portugal
Code Contest 65,8,user0658,Mexico
Code Contest 65,9,user0659,India
Code Contest 65,10,user06510,Portugal
Code Contest 66,1,user0661,Thailand
Code Contest 66,2,user0662,Finland
Code Contest 66,3,user0663,Mexico
Code Contest 66,4,user0664,China
Code Contest 66,5,user0665,Turkey
Code Contest 66,6,user0666,Canada
Code Contest 66,7,user0667,Malaysia
Code Contest 66,8,user0668,Italy
Code Contest 66,9,user0669,Israel
Code Contest 66,10,user06610,Netherlands
Code Contest 67,1,user0671,United Kingdom
Code Contest 67,2,user0672,France
Code Contest 67,3,user0673,Vietnam
Code Contest 67,4,user0674,Vietnam
Code Contest 67,5,user0675,Canada
Code Contest 67,6,user0676,France
Code Contest 67,7,user0677,South Korea
Code Contest 67,8,user0678,Brazil
Code Contest 67,9,user0679,Philippines
Code Contest 67,10,user06710,Portugal
Code Contest 68,1,user0681,South Korea
Code Contest 68,2,user0682,Malaysia
Code Contest 68,3,user0683,USA
Code Contest 68,4,user0684,Norway
Code Contest 68,5,user0685,India
Code Contest 68,6,user0686,Argentina
Code Contest 68,7,user0687,Philippines
Code Contest 68,8,user0688,Mexico
Code Contest 68,9,user0689,Brazil
Code Contest 68,10,user06810,South Korea
Code Contest 69,1,user0691,Vietnam
Code Contest 69,2,user0692,Canada
Code Contest 69,3,user0693,Malaysia
Code Contest 69,4,user0694,Czech Republic
Code Contest 69,5,user0695,Switzerland
Code Contest 69,6,user0696,Singapore
Code Contest 69,7,user0697,Belgium
Code Contest 69,8,user0698,United Kingdom
Code Contest 69,9,user0699,Argentina
Code Contest 69,10,user06910,Chile
Code Contest 70,1,user0701,Sweden
Code Contest 70,2,user0702,Poland
Code Contest 70,3,user0703,Denmark
Code Contest 70,4,user0704,Ireland
Code Contest 70,5,user0705,Brazil
Code Contest 70,6,user0706,Belgium
Code Contest 70,7,user0707,United Kingdom
Code Contest 70,8,user0708,Israel
Code Contest 70,9,user0709,Finland
Code Contest 70,10,user07010,Belgium
Code Contest 71,1,user0711,Germany
Code Contest 71,2,user0712,South Africa
Code Contest 71,3,user0713,New Zealand
Code Contest 71,4,user0714,Thailand
Code Contest 71,5,user0715,Singapore
Code Contest 71,6,user0716,Turkey
Code Contest 71,7,user0717,Israel
Code Contest 71,8,user0718,Belgium
Code Contest 71,9,user0719,Philippines
Code Contest 71,10,user07110,New Zealand
Code Contest 72,1,user0721,Spain
Code Contest 72,2,user0722,Mexico
Code Contest 72,3,user0723,Australia
Code Contest 72,4,user0724,New Zealand
Code Contest 72,5,user0725,Greece
Code Contest 72,6,user0726,Mexico
Code Contest 72,7,user0727,Israel
Code Contest 72,8,user0728,Malaysia
Code Contest 72,9,user0729,Thailand
Code Contest 72,10,user07210,USA
Code Contest 73,1,user0731,Sweden
Code Contest 73,2,user0732,Portugal
Code Contest 73,3,user0733,Ireland
Code Contest 73,4,user0734,Spain
Code Contest 73,5,user0735,Germany
Code Contest 73,6,user0736,Ireland
Code Contest 73,7,user0737,Italy
Code Contest 73,8,user0738,Switzerland
Code Contest 73,9,user0739,Netherlands
Code Contest 73,10,user07310,Sweden
Code Contest 74,1,user0741,New Zealand
Code Contest 74,2,user0742,Vietnam
Code Contest 74,3,user0743,New Zealand
Code Contest 74,4,user0744,Indonesia
Code Contest 74,5,user0745,Poland
Code Contest 74,6,user0746,South Africa
Code Contest 74,7,user0747,India
Code Contest 74,8,user0748,Australia
Code Contest 74,9,user0749,Mexico
Code Contest 74,10,user07410,Denmark
Code Contest 75,1,user0751,Ireland
Code Contest 75,2,user0752,Indonesia
Code Contest 75,3,user0753,Mexico
Code Contest 75,4,user0754,Turkey
Code Contest 75,5,user0755,Ireland
Code Contest 75,6,user0756,Greece
Code Contest 75,7,user0757,Portugal
